,id,event_id,type_id,event_name,period_id,min,sec,team_id,outcome,x,y,timestamp,last_modified,version,player_id,keypass,competition_id,game_id,home_team_id,home_team_name,away_team_id,away_team_name,competition_name,season_id,276,328,388,391,Assisted,Big Chance,Blocked x co-ordinate,Blocked y co-ordinate,Box-centre,Close left,From corner,GK X Coordinate,GK Y Coordinate,Goal mouth y co-ordinate,Goal mouth z co-ordinate,Head,High right,Individual Play,Intentional assist,Left,Not past goal line,Out of box-centre,Regular play,Related event ID,Right,Right footed,Set piece,Standing,Swerve Right,Throw-in set piece,Volley,Weak,Zone,assist,Box-left,High,Left footed,Close right,Free kick,Strong,Close high,35+ right,Close right and high,Swerve Left,35+ centre,Box-right,Box-deep left,High left,Small box-right,233,Fast break,Keeper Saved,314,Close left and high,Small box-left,Small box-centre,Out of box-right,389,Out of box-deep right,Other body part,35+ left,Out of box-left,Out of box-deep left,Box-deep right
7,2213109353,600,13,Miss,2,66,13,372,1,88.4,52.0,2020-09-19T22:30:43.690,2020-09-22T09:42:31,1600764141874,61231,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,sim,,sim,-,,,sim,,-,2.0,50.2,37.6,56.9,sim,sim,-,sim,,,-,sim,598,,-,-,-,-,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2213109703,614,13,Miss,2,68,47,372,1,77.7,43.3,2020-09-19T22:33:18.163,2020-09-22T08:15:25,1600758925283,155476,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,-,,sim,-,,,-,,-,2.2,50.7,43.4,58.3,-,-,sim,sim,,,sim,-,613,,sim,sim,sim,sim,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2213113473,781,13,Miss,2,82,38,201,1,88.1,60.6,2020-09-19T22:47:09.317,2020-09-22T09:42:37,1600764141901,18522,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,sim,,sim,-,,,sim,,sim,98.5,49.8,60.3,68.1,sim,-,-,sim,,,-,-,779,,-,-,-,-,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2213116373,818,13,Miss,2,93,24,372,1,70.4,37.1,2020-09-19T22:57:55.261,2020-09-22T09:34:26,1600763666524,201360,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,-,-,,sim,-,,,-,,-,1.9,51.6,50.8,69.4,-,-,sim,-,,,sim,sim,817,,sim,-,sim,-,,-,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2291767791,55,13,Miss,1,5,8,666,1,74.8,59.2,2021-04-26T17:06:06.191,2021-04-28T19:18:47,1619633927655,226274,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,-,-,,-,,-,-,-,,-,98.1,50.2,48.2,77.8,-,,sim,-,,-,,-,-,,-,,sim,,,,,Center,-,,sim,sim,-,,,,,,,,-,,,,,,,,,,,,,,,,,,
1,2291768781,86,13,Miss,1,9,2,2030,1,84.2,65.8,2021-04-26T17:09:59.863,2021-04-28T19:24:55,1619634296414,200959,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,,-,98.4,51.4,41.7,9.7,-,,sim,-,,-,,sim,85,,sim,,sim,,,,,Center,-,,-,-,sim,,,,,,,,-,,,,,,,,,,,,,,,,,,
2,2291777217,318,13,Miss,1,36,8,666,1,93.6,49.5,2021-04-26T17:37:06.036,2021-04-28T19:19:21,1619633960953,244663,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,sim,sim,,sim,,95.2,47.3,sim,,sim,99.1,49.3,32.6,5.6,sim,,-,sim,,sim,,-,317,,-,,-,,,,,Center,-,,-,-,-,,,,,,,,-,,,,,,,,,,,,,,,,,,
3,2291777291,321,13,Miss,1,36,15,666,1,87.0,41.5,2021-04-26T17:37:13.360,2021-04-28T19:20:01,1619634001576,84147,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,sim,sim,,sim,,-,-,sim,,sim,98.5,49.1,47.2,83.3,sim,,-,sim,,-,,-,319,,-,,-,,,,,Center,-,,sim,-,-,,,,,,,,-,,,,,,,,,,,,,,,,,,
4,2291780895,378,13,Miss,1,45,43,666,1,95.4,34.0,2021-04-26T17:46:40.721,2021-04-28T19:32:33,1619634753414,472663,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,-,-,,sim,,-,-,-,,-,92.9,42.1,43.2,6.9,-,,sim,sim,,-,,sim,375,,sim,,sim,,,,,Center,-,,-,-,sim,,,,,,,,-,,,,,,,,,,,,,,,,,,
5,2291792013,566,13,Miss,2,53,31,2030,1,90.9,25.0,2021-04-26T18:17:00.380,2021-04-28T19:25:49,1619634347179,515151,-,99,2133421,2030,Belenenses,666,Gil Vicente,Portuguese Primeira Liga,2020,,sim,-,,-,,92.9,49.8,-,,-,98.6,47.3,99.5,5.6,-,,-,-,,sim,,sim,-,,-,,sim,,,,,Center,-,,-,sim,-,,,,,,,,sim,,,,,,,,,,,,,,,,,,
